,authors,countries,date,rating,reviews,aircraft,traveller type,seat type,route,date flown,seat comfort,cabin staff service,food & beverages,inflight entertainment,ground service,wifi,value for money,recommended,verified,start airport,end airport,transfer airport
0,J House,United States,2023-11-02,2,"My wife and I paid a great deal to fly Premium Economy on Iberia. The only aspect of the flight that was worth the extra fee was the seat. We were able to reline and sleep during the flight. However, all the other amenities were poor. First, my wife and I have TSA Pre, but Iberia does not pay the TSA fee, so we had to go through the 'regular' line. Our seats were between Business and Economy. We could hear and smell the crew preparing the meals for Business, but our food came after economy had been served their dinner. We were not allowed to use the nearby Business class toilets but instead go to the end of the aircraft (passing all economy seats) to use the toilet. Before we arrived at our destination in the morning, we received our breakfast, which was a box with a small roll and a juice/fruit container with no spoon with which to eat it. After we had eaten, they came around with a thermos container of coffee which was poured halfway into a paper cup. This was not the premium economy for which we had paid! I will not fly Iberia again and I am disappointed that American Airlines, which we normally use, uses Iberia as a partner.",A330,Couple Leisure,Premium Economy,Dallas to Madrid,September 2023,4.0,1.0,1.0,3.0,1.0,,2,no,True,Dallas,Madrid,
1,D Gaullan,Switzerland,2023-10-29,1,"Tried to use their website to book the seats end up in an error that required a call to their support. Finally was able to get all the seats and boarding pass. Got to the airport, check the luggage and my wife was bumped to the other side of the aircraft, leaving my daughter alone in a middle seat. They told us someone with a higher status just bumped you out of your seat and there is nothing we can do, So one rule don’t fly Iberia and please BA &AA get an airline in your alliance that is showing minimal customer experience.",,Business,Economy Class,Los Angeles to Madrid,October 2023,3.0,3.0,3.0,3.0,1.0,3.0,1,no,True,Los Angeles,Madrid,
2,Fermin Gonzalez,United Kingdom,2023-10-25,1,I am a passenger with disabilities and I normally request assistance for long distances. This could be done directly online. Now Iberia has removed this option from its page an refer me to a form. I completed the form and I get a reply saying it cannot be done through this page and provide a number in the UK. I am currently in Lima Peru. When and why this has changed? Why making it more difficult for people with disabilities? This is not making any sense to me.,,Solo Leisure,Economy Class,Lima to London via Madrid,October 2023,,,,,,,1,no,False,Lima,London,Madrid
3,E Lanerez,Switzerland,2023-10-15,5,"Premium economy of Iberia is akin to economy in a middle Eastern airline. Seat is not comfortable, food is miserable. The staff in-flight cannot be ruder.  What is good: inflight entertainment, the other passengers experiencing the same, value for money.",,Business,Premium Economy,Zurich to Buenos Aires via Madrid,September 2023,2.0,1.0,1.0,4.0,3.0,1.0,4,no,True,Zurich,Buenos Aires,Madrid
4,Hermina Lieverse,New Zealand,2023-10-13,3,"Bought a ticket in April 2023 for a 06/10/2023 flight. After receiving boarding pass another passenger attended me I was on standby for the flight, several other passengers as well. Flight was overbooked. Staff just told us you wait or find another way to Madrid. After 30 grueling minutes waiting I received a new boarding pass with seat number. Aware it is a budget airline and you cannot expect to much but this is shocking. On arriving in Madrid we were not able to leave plane as jet bridge was not working, had to wait another 15 minutes. Never again Iberia",,Solo Leisure,Economy Class,Santiago to Madrid,October 2023,2.0,1.0,2.0,,1.0,,2,no,True,Santiago,Madrid,
5,Manuel Gabbrielli,United Kingdom,2023-10-07,2,I flew from London to Madrid and my Luggage got lost. After opening a claim in the airport and a week of calls no update were given but actually the customer service staff is quite rude and seems not to care and to take no action after calling them. I am not able to get an update via email and every time I call every person tell a different story. It is unreal to see 3 luggage lost considering that the flight was direct.,AIRBUS A330 Jet,Family Leisure,Economy Class,London Heathrow to Madrid,October 2023,4.0,4.0,4.0,4.0,1.0,,2,no,False,London Heathrow,Madrid,
6,Karla Zuniga,United States,2023-10-02,1,"I flew on Iberia from Miami to Amsterdam with a stop in Madrid. Iberia left my luggage in Madrid. After numerous calls they sent the luggage to Amsterdam, but never to my hotel. I had to go the airport and pick it up, which incurred an additional cost in taxi and time lost from my vacation. When I finally got my luggage they had cut the luggage and removed the lock, ruining my brand new luggage. They also went through my luggage and opened my personal items. There was no one from Iberia at the airport. I called to report my damaged luggage and was repeatedly placed on hold. I filed written report on their website when I got home and they told me the incident needs to reported within 7 days. Are they serious? What lack of professionalism and ethic. Not only did they lose and ruin my luggage but will not take responsibility. Last year they also lost my husband's luggage. Clearly this airline has an issue handling luggage. Very unprofessional and unethical. Will never be flying with Iberia again.",,Family Leisure,Economy Class,Miami to Amsterdam via Madrid,August 2023,4.0,4.0,4.0,4.0,1.0,1.0,1,no,False,Miami,Amsterdam,Madrid
7,Paolo Gabrielli,Switzerland,2023-09-28,2,They lost my hand luggage after asking me to check it in because the flight was fully (or over) booked. In a 3 hour flight we got nothing to drink or eat. Just terrible!,,Couple Leisure,Economy Class,Tenerife to Madrid,September 2023,1.0,3.0,,,1.0,,1,no,True,Tenerife,Madrid,
8,A Garlene,United States,2023-09-20,1,"Iberia lost my luggage. To date, I have not received compensation for the essential items I bought in June/July 2023, nor have I received any communication regarding the matter. When I call, they first say that I need to provide documentation. I then inform them that I have already provided everything they have asked for. Then they say that an ""agent"" will resolve my case. It is now three months later and I have received nothing. What is most disturbing is that you can't actually talk to anyone about it. The call center says that all I can do is wait for the ""agent"" to contact me. They also say that it will be done via email or message and that there is no number I can call to talk to someone to give me more information. The least they can do is have a number one can call and an actual person who is assigned the case.",,Family Leisure,Economy Class,Los Angeles to Madrid,July 2023,1.0,1.0,1.0,,1.0,,1,no,True,Los Angeles,Madrid,
9,M Jao,United States,2023-09-18,4,"San Sebastián to Madrid. I have been notified due to the full flight I have complementary check in bags for free. But night prior to this flight I already paid for 1 check in bag as I am aware of bag policy. I was told that I can have only hand carry and roll away bag. But the Iberia representative repeatedly point to our bag and held us up. I told her that we paid for one checked in bag. She said I check. Yes, check because I got the receipt. I don’t know how you trained people but berating me before looking for my paid bag is one reason I would not fly out on a small airport where personnel does not understand that your customer deserves respect.",,Couple Leisure,Economy Class,San Sebastian to Madrid,September 2023,3.0,3.0,4.0,3.0,3.0,,4,no,True,San Sebastian,Madrid,
