,authors,countries,date,rating,reviews,aircraft,traveller type,seat type,route,date flown,seat comfort,cabin staff service,food & beverages,inflight entertainment,ground service,wifi,value for money,recommended,verified,start airport,end airport,transfer airport,sentiment analysis,sentiment analysis scores,lemmatized reviews
0,J House,United States,2023-11-02,2,"My wife and I paid a great deal to fly Premium Economy on Iberia. The only aspect of the flight that was worth the extra fee was the seat. We were able to reline and sleep during the flight. However, all the other amenities were poor. First, my wife and I have TSA Pre, but Iberia does not pay the TSA fee, so we had to go through the 'regular' line. Our seats were between Business and Economy. We could hear and smell the crew preparing the meals for Business, but our food came after economy had been served their dinner. We were not allowed to use the nearby Business class toilets but instead go to the end of the aircraft (passing all economy seats) to use the toilet. Before we arrived at our destination in the morning, we received our breakfast, which was a box with a small roll and a juice/fruit container with no spoon with which to eat it. After we had eaten, they came around with a thermos container of coffee which was poured halfway into a paper cup. This was not the premium economy for which we had paid! I will not fly Iberia again and I am disappointed that American Airlines, which we normally use, uses Iberia as a partner.",A330,Couple Leisure,Premium Economy,Dallas to Madrid,September 2023,4.0,1.0,1.0,3.0,1.0,,2,no,True,Dallas,Madrid,,Negative,-0.128,  wife pay great deal fly premium economy iberia aspect worth extra fee seat able reline sleep however amenities poor first wife tsa pre iberia pay tsa fee go line seat business economy hear smell crew prepare meal business food come economy serve dinner allow use nearby business class toilet instead go end pass economy seat use toilet arrive destination morning receive breakfast box small roll container spoon eat eaten come around thermos container coffee pour halfway paper cup premium economy pay fly iberia disappointed american airline normally use us iberia partner
1,D Gaullan,Switzerland,2023-10-29,1,"Tried to use their website to book the seats end up in an error that required a call to their support. Finally was able to get all the seats and boarding pass. Got to the airport, check the luggage and my wife was bumped to the other side of the aircraft, leaving my daughter alone in a middle seat. They told us someone with a higher status just bumped you out of your seat and there is nothing we can do, So one rule don’t fly Iberia and please BA &AA get an airline in your alliance that is showing minimal customer experience.",,Business,Economy Class,Los Angeles to Madrid,October 2023,3.0,3.0,3.0,3.0,1.0,3.0,1,no,True,Los Angeles,Madrid,,Neutral,0.0258,  try use website book seat end error require call support finally able get seat board pas get airport check luggage wife bump side leave daughter alone middle seat us someone high status bump seat nothing one rule fly iberia please ba aa get alliance show minimal customer experience
3,E Lanerez,Switzerland,2023-10-15,5,"Premium economy of Iberia is akin to economy in a middle Eastern airline. Seat is not comfortable, food is miserable. The staff in-flight cannot be ruder.  What is good: inflight entertainment, the other passengers experiencing the same, value for money.",,Business,Premium Economy,Zurich to Buenos Aires via Madrid,September 2023,2.0,1.0,1.0,4.0,3.0,1.0,4,no,True,Zurich,Buenos Aires,Madrid,Positive,0.6249,  premium economy iberia akin economy middle eastern seat comfortable food miserable staff ruder good inflight entertainment passenger experience value money
4,Hermina Lieverse,New Zealand,2023-10-13,3,"Bought a ticket in April 2023 for a 06/10/2023 flight. After receiving boarding pass another passenger attended me I was on standby for the flight, several other passengers as well. Flight was overbooked. Staff just told us you wait or find another way to Madrid. After 30 grueling minutes waiting I received a new boarding pass with seat number. Aware it is a budget airline and you cannot expect to much but this is shocking. On arriving in Madrid we were not able to leave plane as jet bridge was not working, had to wait another 15 minutes. Never again Iberia",,Solo Leisure,Economy Class,Santiago to Madrid,October 2023,2.0,1.0,2.0,,1.0,,2,no,True,Santiago,Madrid,,Negative,-0.1027,  buy ticket april 2023 receive board pas another passenger attend standby several passenger well overbooked staff us wait find another way madrid 30 grueling minute wait receive new board pas seat number aware budget expect much shock arrive madrid able leave jet bridge work wait another 15 minute never iberia
7,Paolo Gabrielli,Switzerland,2023-09-28,2,They lost my hand luggage after asking me to check it in because the flight was fully (or over) booked. In a 3 hour flight we got nothing to drink or eat. Just terrible!,,Couple Leisure,Economy Class,Tenerife to Madrid,September 2023,1.0,3.0,,,1.0,,1,no,True,Tenerife,Madrid,,Neutral,0.4685,  lose hand luggage ask check fully book 3 hour get nothing drink eat terrible
8,A Garlene,United States,2023-09-20,1,"Iberia lost my luggage. To date, I have not received compensation for the essential items I bought in June/July 2023, nor have I received any communication regarding the matter. When I call, they first say that I need to provide documentation. I then inform them that I have already provided everything they have asked for. Then they say that an ""agent"" will resolve my case. It is now three months later and I have received nothing. What is most disturbing is that you can't actually talk to anyone about it. The call center says that all I can do is wait for the ""agent"" to contact me. They also say that it will be done via email or message and that there is no number I can call to talk to someone to give me more information. The least they can do is have a number one can call and an actual person who is assigned the case.",,Family Leisure,Economy Class,Los Angeles to Madrid,July 2023,1.0,1.0,1.0,,1.0,,1,no,True,Los Angeles,Madrid,,Neutral,0.3261,  iberia lose luggage date receive compensation essential item buy 2023 receive communication regard matter call first say need provide documentation inform already provide everything asked say agent resolve case three month later receive nothing disturb ca actually talk anyone call center say wait agent contact say do via email message number call talk someone give information least number one call actual person assign case
9,M Jao,United States,2023-09-18,4,"San Sebastián to Madrid. I have been notified due to the full flight I have complementary check in bags for free. But night prior to this flight I already paid for 1 check in bag as I am aware of bag policy. I was told that I can have only hand carry and roll away bag. But the Iberia representative repeatedly point to our bag and held us up. I told her that we paid for one checked in bag. She said I check. Yes, check because I got the receipt. I don’t know how you trained people but berating me before looking for my paid bag is one reason I would not fly out on a small airport where personnel does not understand that your customer deserves respect.",,Couple Leisure,Economy Class,San Sebastian to Madrid,September 2023,3.0,3.0,4.0,3.0,3.0,,4,no,True,San Sebastian,Madrid,,Positive,0.8779,  san sebastián madrid notify due full complementary check bag free night prior already pay 1 check bag aware bag policy hand carry roll away bag iberia representative repeatedly point bag hold us pay one checked bag say check yes check get receipt know trained people berate look pay bag one reason fly small airport personnel understand customer deserves respect
10,Holly Thompson,United States,2023-09-07,1,"I don’t understand how Iberia stays in business! We paid for a business class ticket and was told by the agent that we didn’t have business class. She was very rude. We then showed her the receipt. She sent us over to customer service who pointed us out in line and said, ”Economy is over there. This is for business class.” We told her that we are aware that this was business class. Once we got up to the front of the line, she told us that business class was full and she could not refund us. This was unbelievable. They gave us economy seats! We are still trying to get our money back. I cannot believe this!",,Family Leisure,Economy Class,Madrid to Washington,September 2023,1.0,3.0,2.0,2.0,1.0,1.0,1,no,True,Madrid,Washington,,Negative,-0.3818,  understand iberia stay business pay business class ticket agent business class rude show receipt send us customer service point us line say economy business aware business class get front line us business class full refund us unbelievable give us economy seat still try get money back believe
11,R Palmer,Mexico,2023-08-04,1,"I received the worst possible treatment from a flight attendant. On that flight I paid additionally for seats near my husband and son. When boarding the plane I found my seat occupied by a person. The flight attendant gave it to him and he didn't want to change it. She told me to sit somewhere else and I explained that I had paid for them and that it was important to be close to my children for personal reasons. Still, she insisted that the man was taking my place to be close to some teenagers (note that there was a space available between the teens and in the middle section Right next to it, so I don't understand the need to take my place when there are more spaces available and appropriate for the care of people in their late teens). I did not accept giving up my place and the flight attendant cursed me saying that I am inflexible and that life was going to give it back to me and that she hoped everyone is inflexible with me (in front of all the passengers) which was insuring and made my daughter cry and made us have a very difficult, awkward and unpleasant trip. I filed a complaint of which there was only an acknowledgment of receipt by the airline and they never communicated anything to me again, closing the file without any notification or report. The plane has very small spaces, it is uncomfortable and the dining table cannot be extended or placed. It was very Unfortunate what happened. Why is the point of this airline selling seats when their flight attendants take them away and curse and insult the client in front of the rest of passengers when the experience they supposedly sell is nice? Why charge extra money?",A380,Family Leisure,Economy Class,Mexico to Roma via Madrid,July 2023,1.0,1.0,1.0,3.0,4.0,1.0,1,no,True,Mexico,Roma,Madrid,Negative,-0.9652,  receive bad possible treatment attendant pay additionally seat near husband son board find seat occupied person attendant give want change sit somewhere else explain pay important close child personal reason still insist man take place close teenager note space available teen middle section right next understand need take place space available appropriate care people late teen accept give place attendant curse say inflexible life go give back hop everyone inflexible front passenger insure make daughter cry make us difficult awkward unpleasant trip file complaint acknowledgment receipt never communicate anything closing file without notification report small space uncomfortable din table extend place unfortunate happen point selling seats attendant take away curse insult client front rest passenger experience supposedly sell nice charge extra money
12,Vicente Russo,United States,2023-08-01,1,"I booked an economy ticket LAX-Madrid and paid for exit row seats on both flights. At the airport, I was informed that my paid seats were taken, even though I had a confirmed seats email from Iberia. On the outbound flight, they put us on the plane's last row (from my booked and paid row 23). After we sat, other passengers came claiming the same seats and we had to be separated and moved to middle seats. On the returning flight, I confirmed the seats over the phone the day before the flight and still, they separated us and assigned us in middle seats. During check-in, the agent lied saying that they had changed the aircraft (not true) and that I had allocated seats but not confirmed seats - when I showed her the email from Iberia showing confirmed seats, she became hostile. During the 12 hours flight, the entertainment service and Wi-Fi crashed. I applied for a refund for the almost $400 I paid for the exit row seats and Iberia refused to refund me. The whole situation is so absurd that it is almost unbelievable that an airline can be this callous. Customer service was unhelpful and condescending. From customer service (or complete lack of) check-in and onboard crew - everything is just terrible and extremely unprofessional on Iberia. If you have plans to travel on this airline, for the sake of your vacation, find another airline and you can thank me later.",A350-900,Couple Leisure,Economy Class,Los Angeles to Madrid,July 2023,1.0,1.0,1.0,1.0,1.0,1.0,1,no,True,Los Angeles,Madrid,,Negative,-0.8484,  booked economy ticket pay exit row seat flight airport inform pay seat take though confirmed seat email iberia outbound put us last row book pay row 23 sat passenger come claim seat separate move middle seat return confirm seat phone day still separate us assign us middle seat agent lie say change true allocate seat confirm seat show email iberia show confirmed seat become hostile 12 hour entertainment service crash apply refund almost 400 pay exit row seat iberia refuse refund whole situation absurd almost unbelievable callous customer service unhelpful condescend customer service complete lack onboard crew everything terrible extremely unprofessional iberia plan travel sake vacation find another thank later
